episode,distance,duration_ticks,crashed,epsilon
464,3400.00,340,True,0.8024
465,2840.00,284,True,0.8023
466,3710.00,371,True,0.8021
467,7170.00,717,True,0.8017
468,5080.00,508,True,0.8015
469,3900.00,390,True,0.8013
470,2190.00,219,True,0.8012
471,6560.00,656,True,0.8008
472,2420.00,242,True,0.8007
473,3330.00,333,True,0.8006
474,4630.00,463,True,0.8003
475,2630.00,263,True,0.8002
476,2110.00,211,True,0.8001
477,1930.00,193,True,0.8000
478,3990.00,399,True,0.7998
479,3540.00,354,True,0.7996
480,1830.00,183,True,0.7995
481,4410.00,441,True,0.7993
482,3160.00,316,True,0.7991
483,3060.00,306,True,0.7990
484,4780.00,478,True,0.7988
485,4990.00,499,True,0.7985
486,2860.00,286,True,0.7984
487,6740.00,674,True,0.7980
488,4090.00,409,True,0.7978
489,2040.00,204,True,0.7977
490,3790.00,379,True,0.7975
491,2520.00,252,True,0.7974
492,2730.00,273,True,0.7973
493,4110.00,411,True,0.7971
494,4950.00,495,True,0.7968
495,1990.00,199,True,0.7967
496,4390.00,439,True,0.7965
497,3910.00,391,True,0.7963
498,1930.00,193,True,0.7962
499,2490.00,249,True,0.7961
500,3640.00,364,True,0.7959
501,3980.00,398,True,0.7957
502,3910.00,391,True,0.7955
503,3740.00,374,True,0.7953
504,1900.00,190,True,0.7952
505,3770.00,377,True,0.7950
506,2900.00,290,True,0.7949
507,1710.00,171,True,0.7948
508,13850.00,1385,True,0.7941
509,4140.00,414,True,0.7939
510,3220.00,322,True,0.7938
511,4100.00,410,True,0.7936
512,1820.00,182,True,0.7935
513,2310.00,231,True,0.7934
514,3210.00,321,True,0.7932
515,2720.00,272,True,0.7931
516,5400.00,540,True,0.7928
517,6540.00,654,True,0.7925
518,2880.00,288,True,0.7923
519,1980.00,198,True,0.7922
520,2790.00,279,True,0.7921
521,2810.00,281,True,0.7920
522,5950.00,595,True,0.7917
523,4390.00,439,True,0.7914
524,3540.00,354,True,0.7913
525,9270.00,927,True,0.7908
526,3560.00,356,True,0.7906
527,2410.00,241,True,0.7905
528,3750.00,375,True,0.7903
529,2720.00,272,True,0.7902
530,1910.00,191,True,0.7901
531,6090.00,609,True,0.7898
532,3270.00,327,True,0.7896
533,1850.00,185,True,0.7896
534,3550.00,355,True,0.7894
535,1990.00,199,True,0.7893
536,3760.00,376,True,0.7891
537,1950.00,195,True,0.7890
538,3330.00,333,True,0.7888
539,8710.00,871,True,0.7884
540,4770.00,477,True,0.7882
541,3190.00,319,True,0.7880
542,3210.00,321,True,0.7879
